County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Alzheimer's Disease/Dementia Prevalence (%),Arthritis Prevalence (%),Asthma Prevalence (%),Atrial Fibrillation Prevalence (%),Autism Spectrum Disorders Prevalence (%),COPD Prevalence (%),Cancer Prevalence (%),Chronic Kidney Disease Prevalence (%),Depression  Prevalence (%),Diabetes Prevalence (%),HIV/AIDS Prevalence (%),Heart Failure Prevalence (%),Hepatitis (Chronic Viral B & C) Prevalence (%),Hyperlipidemia Prevalence (%),Hypertension Prevalence (%),Ischemic Heart Disease Prevalence (%),Osteoporosis Prevalence (%),Schizophrenia/Other Psychotic Disorders Prevalence (%),Stroke Prevalence (%)
Skamania,53059 2007,200753059,2007,53059,6.7,13.2,1.5,6.7,,6.4,6.4,7.3,8.6,19.7,0.0,14.1,,23.5,37.2,16.4,1.6,1.1,2.2
Snohomish,53061 2007,200753061,2007,53061,9.3,20.0,3.4,8.0,0.1,7.8,7.0,11.1,12.4,21.5,0.2,12.8,0.9,30.7,40.7,20.9,4.4,2.9,3.2
Spokane,53063 2007,200753063,2007,53063,9.9,22.3,3.5,7.9,0.1,9.9,7.2,10.9,12.5,20.7,0.2,13.2,0.7,34.5,42.7,22.0,6.5,3.4,3.4
Stevens,53065 2007,200753065,2007,53065,6.8,21.9,3.1,6.9,0.0,11.3,6.5,7.6,8.5,20.7,,13.0,0.5,26.0,34.2,22.9,4.8,1.9,3.4
Thurston,53067 2007,200753067,2007,53067,9.2,21.1,3.7,6.8,0.1,8.3,6.2,9.3,11.9,19.9,0.2,14.0,0.7,28.2,37.5,21.0,4.6,3.1,2.8
Wahkiakum,53069 2007,200753069,2007,53069,5.6,19.2,4.4,8.0,0.0,9.9,5.8,8.9,10.2,20.9,,15.4,,24.3,37.0,21.0,3.9,3.1,2.5
Walla Walla,53071 2007,200753071,2007,53071,11.4,20.8,4.6,8.7,,8.7,8.9,8.5,11.6,20.9,,16.3,0.5,33.9,43.9,22.8,6.0,2.5,2.8
Whatcom,53073 2007,200753073,2007,53073,9.0,18.3,3.9,9.3,0.1,8.1,7.5,9.3,13,20.5,0.3,13.5,1.4,34.1,43.8,23.8,5.2,3.4,3.2
Whitman,53075 2007,200753075,2007,53075,8.1,27.9,6.7,7.9,,9.3,7.5,11.8,8.9,21.5,,17.4,0.4,31.8,44.0,24.8,5.2,2.9,3.8
Yakima,53077 2007,200753077,2007,53077,8.9,20.7,3.6,7.9,0.1,9.6,7.8,10.5,11.4,25.6,0.2,16.5,0.6,36.5,46.3,25.1,4.7,2.6,3.2
State Total,.2008,200853000,2008,.,9.3,20.8,3.7,7.7,0.1,8.5,7.1,10.8,12.2,21.6,0.3,13.3,0.8,33.7,43.3,21.5,5.2,3.0,3.2
Adams,53001 2008,200853001,2008,53001,11.0,24.5,2.9,7.8,0.0,9.7,6.4,12.3,12.4,29.4,,15.2,,35.6,49.8,26.8,4.7,2.2,3.1
Asotin,53003 2008,200853003,2008,53003,10.6,25.5,4.0,8.2,0.0,10.3,9.0,10.6,10.7,24.1,,16.8,0.4,36.9,45.1,25.3,5.5,2.2,3.3
Benton,53005 2008,200853005,2008,53005,11.6,23.5,4.5,7.0,0.1,10.7,8.1,10.9,13.1,26.0,0.1,12.9,0.6,43.2,48.7,26.6,6.4,2.6,4.4
Chelan,53007 2008,200853007,2008,53007,9.7,22.0,3.4,8.7,,7.9,7.9,9.9,14.2,20.3,0.1,11.2,0.7,34.2,42.8,19.5,4.5,2.1,3.3
Clallam,53009 2008,200853009,2008,53009,8.0,24.2,3.9,7.9,,7.9,7.2,7.1,10.8,19.6,0.1,12.0,0.7,34.6,43.8,20.4,6.0,2.2,2.8
Clark,53011 2008,200853011,2008,53011,9.5,16.5,3.8,7.4,0.1,8.3,5.8,11.2,12.8,22.2,0.2,13.8,0.7,29.2,40.8,20.0,4.0,3.4,3.2
Columbia,53013 2008,200853013,2008,53013,8.7,21.7,4.8,7.0,,9.8,7.4,10.9,11.7,23.0,,14.8,0.0,33.8,40.7,25.9,3.3,4.1,2.6
Cowlitz,53015 2008,200853015,2008,53015,9.1,22.0,4.9,8.2,0.1,12.5,6.5,12.5,14.7,23.7,0.2,16.3,0.6,32.1,45.0,22.4,5.1,3.9,3.2
Douglas,53017 2008,200853017,2008,53017,9.6,24.0,2.7,8.6,0.0,9.1,7.9,10.1,14.2,21.3,,12.9,0.6,37.1,43.2,21.4,4.7,2.0,3.1
Ferry,53019 2008,200853019,2008,53019,4.9,16.9,2.5,5.9,0.0,12.4,5.1,6.2,8.7,18.4,,12.4,1.3,22.4,31.3,22.7,3.5,2.3,2.7
Franklin,53021 2008,200853021,2008,53021,10.1,21.0,4.4,6.3,,10.0,6.8,11.2,12,28.6,0.3,12.3,0.9,44.0,46.8,26.4,5.2,2.7,3.9
Garfield,53023 2008,200853023,2008,53023,16.5,25.6,,7.8,0.0,8.2,10.4,14.3,13.4,27.5,,19.1,0.0,53.8,52.1,29.3,6.9,,2.8
Grant,53025 2008,200853025,2008,53025,8.8,26.2,3.3,7.2,,9.8,6.7,10.2,11.6,26.2,0.2,14.5,0.4,34.7,44.8,22.5,3.7,2.1,3.0
Grays Harbor,53027 2008,200853027,2008,53027,8.1,20.9,4.4,8.0,,12.1,6.3,11.6,12.8,24.5,0.1,16.7,0.7,39.5,50.5,25.6,4.4,2.4,3.6
Island,53029 2008,200853029,2008,53029,7.3,22.7,3.6,7.9,,7.4,8.6,8.9,11.1,19.3,0.2,12.6,0.5,36.6,44.1,21.0,5.0,1.5,2.7
Jefferson,53031 2008,200853031,2008,53031,6.2,17.6,2.5,8.7,,6.2,7.6,8.0,10.1,16.5,0.1,12.0,0.6,34.3,42.8,17.8,4.2,1.3,3.1
King,53033 2008,200853033,2008,53033,10.2,19.4,3.4,7.4,0.1,6.7,7.1,11.3,12,19.6,0.6,11.9,1.0,31.2,41.6,20.8,5.4,3.6,3.1
Kitsap,53035 2008,200853035,2008,53035,9.3,19.5,4.3,8.4,0.1,7.8,6.8,11.0,12.3,21.6,0.3,15.6,0.6,35.3,46.2,19.7,4.5,2.7,3.4
Kittitas,53037 2008,200853037,2008,53037,7.3,22.7,2.7,7.5,,7.3,7.5,7.8,10,19.2,,10.9,0.5,35.5,38.5,19.6,3.4,2.2,2.3
Klickitat,53039 2008,200853039,2008,53039,6.8,15.5,2.8,6.4,,7.6,6.9,6.3,8.9,20.5,,13.3,0.5,28.2,34.3,17.8,3.3,2.2,2.9
Lewis,53041 2008,200853041,2008,53041,8.5,19.1,2.9,7.8,,9.3,7.0,9.5,12.1,21.9,0.1,15.8,0.7,33.2,41.3,21.6,5.6,1.9,3.1
Lincoln,53043 2008,200853043,2008,53043,9.5,28.0,3.5,8.9,0.0,11.6,7.7,12.0,11,23.4,,13.7,,35.1,44.4,25.9,5.8,1.7,3.5
